"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000008012716,000008012716,2,300,,,,
000008012716,710009950008,2,300,,,,
000008012713,000008012713,2,300,,,,
000008012713,300000005272,2,180,,,,
000008012713,300000005274,2,180,,,,
000008010205,000008010205,2,300,,,,
000008010205,000008098205,2,300,,,,
000008010327,000008010327,2,300,,,,
000008010327,000008010327,2,240,,,56954672,56955167
000008010327,000008010327,2,240,,,56954673,56955167
000008010327,000008010327,2,240,,,56954674,56955168
000008010327,000008010327,2,240,,,56954675,56955168
000008010327,000008010327,2,240,,,56954678,56955169
000008010327,000008010327,2,240,,,56954679,56955169
000008010327,000008010327,2,240,,,56954688,56955172
000008010327,000008010327,2,240,,,56954689,56955172
000008010327,000008010327,2,240,,,56954697,56955170
000008010327,000008010327,2,240,,,56954699,56955171
000008010327,000008010327,2,240,,,56954700,56955171
000008010327,000008010327,2,240,,,56954701,56955173
000008010327,000008010327,2,240,,,56954702,56955173
000008010324,000008010324,2,300,,,,
000008010324,710009550112,2,300,,,,
000008010325,000008010325,2,300,,,,
000008012393,000008012393,2,300,,,,
000008011756,000008011756,2,300,,,,
000008011756,390009435339,2,180,,,,
000008011471,000008011471,2,300,,,,
000008011471,650030890101,2,180,,,,
000008011471,650030890103,2,180,,,,
000008011238,000008011238,2,300,,,,
000008011238,450009222030,2,180,,,,
000008011238,250000085101,2,180,,,,
000008012666,000008012666,2,300,,,,
000008012666,060023005896,2,240,,,,
000008012666,060023005897,2,240,,,,
000008012666,300000000408,2,240,,,,
000008012666,270000042301,2,240,,,,
000008012666,270000042302,2,240,,,,
000008012666,450009230999,2,240,,,,
000008012666,270000042303,2,240,,,,
000008012666,270000042304,2,240,,,,
000008012666,100000110506,2,240,,,,
000008012666,100000110509,2,240,,,,
000008012666,100000110503,2,240,,,,
000008012666,270000042351,2,240,,,,
000008012666,270000042305,2,240,,,,
000008012666,300000000405,2,240,,,,
000008012666,270000042306,2,240,,,,
000008012666,270000042307,2,240,,,,
000008012666,070101007557,2,180,,,,
000008012666,780000400101,2,180,,,,
000008012666,780000400106,2,180,,,,
000008012666,250000110508,2,240,,,,
000008012666,250000110509,2,240,,,,
000008012666,250000110503,2,240,,,,
000008012666,250000110505,2,240,,,,
000008012666,250000110507,2,240,,,,
000008012666,070101007184,2,180,,,,
000008012666,070101007193,2,180,,,,
000008012428,000008012428,2,300,,,,
000008010279,000008010279,2,300,,,,
000008010279,270000008003,2,180,,,,
000008010279,270000008004,2,180,,,,
000008010279,270000008001,2,180,,,,
000008010279,270000008002,2,180,,,,
000008010310,000008010310,2,300,,,,
000008010318,000008010318,2,300,,,,
000008010036,000008010036,2,360,,,,
000008010036,060160004001,2,360,,,,
000008010036,060160004001,2,360,10836_100,10157_109,,
000008010036,060160004001,2,360,10836_100,10158_109,,
000008010036,060160004001,2,360,10836_100,10162_109,,
000008010036,060160004001,2,360,10836_100,10163_109,,
000008010036,060160004001,2,360,10842_100,10157_109,,
000008010036,060160004001,2,360,10842_100,10158_109,,
000008010036,060160004001,2,360,10842_100,10162_109,,
000008010036,060160004001,2,360,10842_100,10163_109,,
000008010036,060160004001,2,360,10881_100,10157_109,,
000008010036,060160004001,2,360,10881_100,10158_109,,
000008010036,060160004001,2,360,10881_100,10162_109,,
000008010036,060160004001,2,360,10881_100,10163_109,,
000008010036,060160004002,2,360,,,,
000008010036,060160004002,2,360,10836_100,10157_109,,
000008010036,060160004002,2,360,10836_100,10162_109,,
000008010036,060160004002,2,360,10842_100,10157_109,,
000008010036,060160004002,2,360,10842_100,10162_109,,
